Sr. No.,Study,Name
1,2016 - 2018,Malvan
2,2002 - 2003,Chapora
3,2002 - 2003,Vasco
4,2002 - 2003,"Malim, Goa"
5,2002 - 2003,"Betul, Goa"
6,2006-2008,Mandovi - Zuari estuary
7,2016 - 2018,Vengurla
